invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,price_eur,total
I174522,C305201,Female,31,Clothing,5,1500.4,Credit_Card,25/10/2022,VIAPORT_OUTLET,150.04,7502.0
I755691,C972594,Female,33,Food & Beverage,4,20.92,Cash,21/09/2022,ISTINYE_PARK,2.09,83.68
I159194,C114209,Female,65,Clothing,3,900.24,Credit_Card,30/05/2021,KANYON,90.02,2700.7200000000003
I170037,C202043,Male,54,Cosmetics,4,162.64,Credit_Card,26/04/2022,METROPOL_AVM,16.26,650.56
I799251,C282132,Female,51,Clothing,3,900.24,Cash,13/12/2021,ISTINYE_PARK,90.02,2700.7200000000003
I148175,C231919,Female,67,Cosmetics,2,81.32,Cash,21/10/2022,MALL_OF_ISTANBUL,8.13,162.64
I261734,C312097,Male,33,Clothing,5,1500.4,Cash,14/12/2021,METROCITY,150.04,7502.0
I490074,C204480,Male,31,Cosmetics,5,203.3,Credit_Card,21/08/2021,MALL_OF_ISTANBUL,20.33,1016.5
I132617,C202084,Male,39,Clothing,3,900.24,Debit_Card,28/07/2021,METROCITY,90.02,2700.7200000000003
I277373,C635638,Female,26,Souvenir,2,23.46,Cash,22/01/2021,METROCITY,2.35,46.92
I684949,C195774,Female,33,Clothing,1,300.08,Credit_Card,29/05/2022,FORUM_ISTANBUL,30.01,300.08
I255088,C130409,Female,66,Clothing,4,1200.32,Cash,25/08/2022,FORUM_ISTANBUL,120.03,4801.28
I385143,C800327,Female,62,Technology,5,5250,Cash,16/11/2021,KANYON,525.0,26250.0
I229110,C256999,Male,46,Clothing,1,300.08,Credit_Card,1/1/2021,METROPOL_AVM,30.01,300.08
I124913,C204511,Male,39,Clothing,4,1200.32,Cash,8/5/2022,MALL_OF_ISTANBUL,120.03,4801.28
I106468,C300105,Male,23,Toys,5,179.2,Cash,28/11/2022,KANYON,17.92,896.0
I111589,C575595,Female,40,Shoes,4,2400.68,Cash,8/4/2022,MALL_OF_ISTANBUL,240.07,9602.72
I220445,C138253,Male,49,Food & Beverage,5,26.15,Credit_Card,16/08/2022,MALL_OF_ISTANBUL,2.62,130.75
I100072,C143773,Male,64,Technology,5,5250,Debit_Card,10/8/2021,METROPOL_AVM,525.0,26250.0
I150872,C315017,Female,62,Food & Beverage,1,5.23,Cash,12/11/2022,METROCITY,0.52,5.23
I481588,C277516,Female,27,Food & Beverage,1,5.23,Credit_Card,28/03/2021,METROPOL_AVM,0.52,5.23
I283374,C218046,Female,25,Clothing,2,600.16,Credit_Card,10/1/2023,ZORLU_CENTER,60.02,1200.32
I197905,C222688,Female,45,Food & Beverage,3,15.69,Credit_Card,19/02/2022,MALL_OF_ISTANBUL,1.57,47.07
I114449,C225738,Female,24,Clothing,2,600.16,Debit_Card,2/9/2022,KANYON,60.02,1200.32
I403880,C706357,Female,69,Books,2,30.3,Credit_Card,24/04/2021,FORUM_ISTANBUL,3.03,60.6
I819965,C306561,Female,64,Food & Beverage,3,15.69,Cash,28/01/2023,MALL_OF_ISTANBUL,1.57,47.07
I112626,C285286,Female,24,Clothing,2,600.16,Cash,20/10/2022,KANYON,60.02,1200.32
I257526,C271084,Female,65,Cosmetics,3,121.98,Cash,31/05/2021,MALL_OF_ISTANBUL,12.2,365.94
I325058,C107736,Female,23,Food & Beverage,4,20.92,Cash,11/6/2021,ZORLU_CENTER,2.09,83.68
I152498,C309289,Female,43,Shoes,4,2400.68,Credit_Card,2/12/2022,KANYON,240.07,9602.72
I107387,C213324,Female,61,Cosmetics,4,162.64,Credit_Card,15/04/2021,ISTINYE_PARK,16.26,650.56
I748984,C157608,Female,47,Food & Beverage,5,26.15,Cash,6/12/2022,FORUM_ISTANBUL,2.62,130.75
I901339,C333956,Female,22,Clothing,3,900.24,Cash,25/02/2021,KANYON,90.02,2700.7200000000003
I755574,C289632,Male,61,Cosmetics,3,121.98,Credit_Card,2/1/2021,VIAPORT_OUTLET,12.2,365.94
I152771,C990937,Male,45,Cosmetics,2,81.32,Debit_Card,21/07/2021,EMAAR_SQUARE_MALL,8.13,162.64
I336252,C119601,Male,43,Clothing,2,600.16,Cash,2/4/2021,ISTINYE_PARK,60.02,1200.32
I281593,C223184,Male,41,Shoes,2,1200.34,Credit_Card,21/04/2021,METROPOL_AVM,120.03,2400.68
I292059,C201050,Female,68,Clothing,4,1200.32,Cash,21/01/2023,KANYON,120.03,4801.28
I999311,C115318,Male,43,Shoes,3,1800.51,Cash,5/7/2022,ZORLU_CENTER,180.05,5401.53
I271813,C144234,Male,34,Clothing,5,1500.4,Cash,3/3/2022,VIAPORT_OUTLET,150.04,7502.0
I354042,C797955,Female,63,Cosmetics,2,81.32,Cash,20/10/2021,ISTINYE_PARK,8.13,162.64
I220335,C236528,Male,42,Clothing,4,1200.32,Credit_Card,29/08/2022,KANYON,120.03,4801.28
I125072,C891364,Female,49,Toys,1,35.84,Credit_Card,14/09/2022,METROPOL_AVM,3.58,35.84
I100310,C183161,Female,46,Cosmetics,4,162.64,Cash,22/04/2022,MALL_OF_ISTANBUL,16.26,650.56
I481357,C195967,Female,59,Clothing,3,900.24,Credit_Card,11/5/2021,CEVAHIR_AVM,90.02,2700.7200000000003
I713391,C139323,Female,50,Cosmetics,3,121.98,Cash,19/01/2023,VIAPORT_OUTLET,12.2,365.94
I233431,C323544,Female,20,Clothing,4,1200.32,Cash,29/08/2022,ISTINYE_PARK,120.03,4801.28
I282782,C287981,Male,63,Technology,1,1050,Cash,1/8/2021,KANYON,105.0,1050.0
I153428,C104057,Male,22,Food & Beverage,3,15.69,Credit_Card,5/3/2022,KANYON,1.57,47.07
I764259,C180145,Female,45,Food & Beverage,5,26.15,Debit_Card,26/09/2021,METROCITY,2.62,130.75
I182654,C192063,Female,58,Souvenir,4,46.92,Cash,4/2/2023,ISTINYE_PARK,4.69,187.68
I124049,C111652,Female,19,Souvenir,5,58.65,Credit_Card,24/01/2022,KANYON,5.87,293.25
I273014,C840615,Male,47,Clothing,5,1500.4,Credit_Card,28/09/2022,ZORLU_CENTER,150.04,7502.0
I181902,C151932,Female,53,Food & Beverage,5,26.15,Credit_Card,18/05/2022,METROCITY,2.62,130.75
I226195,C209443,Female,54,Clothing,4,1200.32,Cash,13/04/2022,ISTINYE_PARK,120.03,4801.28
I115453,C299210,Female,25,Clothing,3,900.24,Credit_Card,29/09/2022,MALL_OF_ISTANBUL,90.02,2700.7200000000003
I217874,C163302,Male,52,Clothing,5,1500.4,Cash,26/01/2022,METROCITY,150.04,7502.0
I884076,C356938,Female,57,Cosmetics,3,121.98,Credit_Card,29/12/2021,ISTINYE_PARK,12.2,365.94
I195260,C240871,Female,18,Clothing,2,600.16,Cash,26/11/2021,METROCITY,60.02,1200.32
I589009,C303376,Male,56,Cosmetics,3,121.98,Debit_Card,9/7/2022,MALL_OF_ISTANBUL,12.2,365.94
I186753,C312050,Male,38,Cosmetics,4,162.64,Cash,16/01/2023,MALL_OF_ISTANBUL,16.26,650.56
I109133,C799011,Male,27,Technology,4,4200,Cash,15/09/2021,ISTINYE_PARK,420.0,16800.0
I883276,C252623,Male,26,Technology,2,2100,Cash,27/06/2021,ISTINYE_PARK,210.0,4200.0
I197175,C557941,Female,69,Cosmetics,5,203.3,Credit_Card,1/2/2021,FORUM_ISTANBUL,20.33,1016.5
I281798,C335405,Female,52,Clothing,3,900.24,Cash,27/11/2022,KANYON,90.02,2700.7200000000003
I117846,C229270,Female,23,Food & Beverage,3,15.69,Credit_Card,17/06/2022,METROPOL_AVM,1.57,47.07
I179581,C327044,Male,66,Clothing,4,1200.32,Credit_Card,10/10/2022,KANYON,120.03,4801.28
I121996,C191674,Male,52,Clothing,1,300.08,Debit_Card,13/01/2023,METROCITY,30.01,300.08
I294865,C333261,Female,44,Food & Beverage,3,15.69,Cash,4/3/2023,KANYON,1.57,47.07
I142620,C539169,Male,43,Food & Beverage,5,26.15,Cash,24/02/2022,VIAPORT_OUTLET,2.62,130.75
I163471,C129251,Male,62,Food & Beverage,5,26.15,Cash,13/06/2021,EMAAR_SQUARE_MALL,2.62,130.75
I334100,C813574,Male,59,Clothing,2,600.16,Cash,19/01/2022,METROPOL_AVM,60.02,1200.32
I354833,C633026,Female,23,Cosmetics,4,162.64,Cash,7/3/2023,KANYON,16.26,650.56
I166850,C218346,Female,20,Shoes,4,2400.68,Cash,13/03/2022,METROCITY,240.07,9602.72
I732724,C178406,Female,44,Clothing,1,300.08,Cash,26/01/2022,METROPOL_AVM,30.01,300.08
I311601,C317037,Male,41,Shoes,4,2400.68,Credit_Card,7/7/2022,ZORLU_CENTER,240.07,9602.72
I855174,C959969,Female,19,Toys,4,143.36,Cash,16/03/2021,MALL_OF_ISTANBUL,14.34,573.44
I263184,C877514,Female,61,Toys,4,143.36,Cash,14/04/2022,KANYON,14.34,573.44
I262221,C823288,Male,43,Shoes,4,2400.68,Cash,7/1/2022,ISTINYE_PARK,240.07,9602.72
I532031,C113970,Female,32,Cosmetics,3,121.98,Credit_Card,14/02/2023,METROPOL_AVM,12.2,365.94
I970753,C595462,Female,60,Toys,2,71.68,Credit_Card,1/4/2021,MALL_OF_ISTANBUL,7.17,143.36
I262364,C180878,Female,39,Cosmetics,2,81.32,Cash,25/02/2022,METROCITY,8.13,162.64
I139006,C100096,Male,40,Clothing,3,900.24,Cash,3/10/2021,MALL_OF_ISTANBUL,90.02,2700.7200000000003
I215125,C169286,Female,57,Toys,1,35.84,Debit_Card,29/09/2022,METROPOL_AVM,3.58,35.84
I171812,C171636,Female,52,Shoes,5,3000.85,Debit_Card,30/10/2021,EMAAR_SQUARE_MALL,300.09,15004.25
I188066,C171023,Female,43,Souvenir,4,46.92,Cash,24/01/2023,KANYON,4.69,187.68
I197581,C874607,Male,22,Clothing,2,600.16,Cash,21/09/2022,ISTINYE_PARK,60.02,1200.32
I157797,C841935,Female,45,Food & Beverage,3,15.69,Credit_Card,4/2/2023,ISTINYE_PARK,1.57,47.07
I315151,C312163,Female,27,Toys,4,143.36,Cash,3/12/2021,MALL_OF_ISTANBUL,14.34,573.44
I103207,C171664,Female,58,Clothing,3,900.24,Credit_Card,5/11/2022,METROCITY,90.02,2700.7200000000003
I637517,C651513,Male,58,Shoes,1,600.17,Credit_Card,1/9/2021,ZORLU_CENTER,60.02,600.17
I397825,C103397,Male,57,Food & Beverage,2,10.46,Credit_Card,20/01/2022,ISTINYE_PARK,1.05,20.92
I491429,C754460,Female,48,Cosmetics,2,81.32,Cash,21/09/2021,ISTINYE_PARK,8.13,162.64
I150764,C322962,Male,54,Toys,5,179.2,Debit_Card,24/01/2022,KANYON,17.92,896.0
I304786,C243114,Female,35,Clothing,5,1500.4,Cash,15/01/2021,METROPOL_AVM,150.04,7502.0
I106625,C608814,Female,20,Clothing,2,600.16,Debit_Card,25/06/2022,ISTINYE_PARK,60.02,1200.32
I185332,C192110,Female,30,Clothing,1,300.08,Credit_Card,29/03/2022,METROCITY,30.01,300.08
I909700,C389738,Female,28,Clothing,1,300.08,Cash,19/11/2021,FORUM_ISTANBUL,30.01,300.08
I320932,C747715,Female,67,Cosmetics,5,203.3,Credit_Card,22/05/2022,MALL_OF_ISTANBUL,20.33,1016.5
I227081,C978155,Male,37,Clothing,1,300.08,Cash,10/6/2021,ZORLU_CENTER,30.01,300.08
I149581,C440338,Female,55,Cosmetics,1,40.66,Cash,1/7/2022,KANYON,4.07,40.66
I798166,C322989,Female,44,Clothing,1,300.08,Credit_Card,20/04/2021,METROCITY,30.01,300.08
I154181,C205016,Male,57,Clothing,1,300.08,Credit_Card,28/12/2021,MALL_OF_ISTANBUL,30.01,300.08
I181921,C150618,Male,47,Technology,2,2100,Cash,5/7/2022,VIAPORT_OUTLET,210.0,4200.0
I248449,C387319,Female,24,Clothing,2,600.16,Credit_Card,18/12/2022,METROCITY,60.02,1200.32
I704582,C249665,Female,63,Food & Beverage,3,15.69,Cash,4/3/2023,ZORLU_CENTER,1.57,47.07
I362723,C537029,Female,32,Toys,2,71.68,Credit_Card,3/1/2023,METROPOL_AVM,7.17,143.36
I209141,C508048,Male,43,Food & Beverage,5,26.15,Credit_Card,10/1/2023,CEVAHIR_AVM,2.62,130.75
I109897,C233296,Female,30,Cosmetics,5,203.3,Debit_Card,22/06/2021,MALL_OF_ISTANBUL,20.33,1016.5
I310331,C291192,Female,44,Cosmetics,4,162.64,Credit_Card,12/8/2022,MALL_OF_ISTANBUL,16.26,650.56
I230455,C142396,Female,55,Toys,3,107.52,Cash,12/8/2021,METROPOL_AVM,10.75,322.56
I966474,C120407,Female,27,Food & Beverage,1,5.23,Cash,6/5/2021,METROPOL_AVM,0.52,5.23
I385715,C216204,Female,54,Toys,1,35.84,Debit_Card,23/12/2021,EMAAR_SQUARE_MALL,3.58,35.84
I305087,C306803,Male,25,Clothing,1,300.08,Cash,19/05/2021,METROCITY,30.01,300.08
I235662,C281232,Male,22,Clothing,1,300.08,Cash,1/4/2022,MALL_OF_ISTANBUL,30.01,300.08
I296877,C206879,Male,37,Toys,1,35.84,Credit_Card,28/03/2022,MALL_OF_ISTANBUL,3.58,35.84
I302564,C616441,Male,59,Clothing,5,1500.4,Debit_Card,7/1/2021,EMAAR_SQUARE_MALL,150.04,7502.0
I198509,C199333,Female,48,Food & Beverage,2,10.46,Credit_Card,6/7/2022,FORUM_ISTANBUL,1.05,20.92
I250416,C743327,Male,26,Books,1,15.15,Debit_Card,13/10/2022,MALL_OF_ISTANBUL,1.52,15.15
