invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I138884,C241288,Female,28,Clothing,5,1500.4,Credit Card,5/8/2022,Kanyon
I317333,C111565,Male,21,Shoes,3,1800.51,Debit Card,12/12/2021,Forum Istanbul
I127801,C266599,Male,20,Clothing,1,300.08,Cash,9/11/2021,Metrocity
I173702,C988172,Female,66,Shoes,5,3000.85,Credit Card,16/05/2021,Metropol AVM
I337046,C189076,Female,53,Books,4,60.6,Cash,24/10/2021,Kanyon
I227836,C657758,Female,28,Clothing,5,1500.4,Credit Card,24/05/2022,Forum Istanbul
I121056,C151197,Female,49,Cosmetics,1,40.66,Cash,13/03/2022,Istinye Park
I293112,C176086,Female,32,Clothing,2,600.16,Credit Card,13/01/2021,Mall of Istanbul
I293455,C159642,Male,69,Clothing,3,900.24,Credit Card,4/11/2021,Metrocity
I326945,C283361,Female,60,Clothing,2,600.16,Credit Card,22/08/2021,Kanyon
I306368,C240286,Female,36,Food & Beverage,2,10.46,Cash,25/12/2022,Metrocity
I139207,C191708,Female,29,Books,1,15.15,Credit Card,28/10/2022,Emaar Square Mall
I640508,C225330,Female,67,Toys,4,143.36,Debit Card,31/07/2022,Metrocity
I179802,C312861,Male,25,Clothing,2,600.16,Cash,17/11/2022,Cevahir AVM
I336189,C555402,Female,67,Clothing,2,600.16,Credit Card,3/6/2022,Kanyon
I688768,C362288,Male,24,Shoes,5,3000.85,Credit Card,7/11/2021,Viaport Outlet
I294687,C300786,Male,65,Books,2,30.3,Debit Card,16/01/2021,Metrocity

I138842,C241288,Female,28,Clothing,4,1530.42,Credit Card,25/01/2025,Kanyon
I317332,C111565,Male,21,Shoes,4,1830.512,Debit Card,25/01/2025,Forum Istanbul
I127812,C266599,Male,20,Clothing,3,330.082,Cash,25/01/2025,Metrocity
I173722,C988172,Female,66,Shoes,5,3030.852,Credit Card,25/01/2025,Metropol AVM
I337062,C189062,Female,53,Books,4,63.62,Cash,25/01/2025,Kanyon
I227862,C657782,Female,28,Clothing,6,1530.42,Credit Card,25/01/2025,Forum Istanbul
I121062,C151172,Female,49,Cosmetics,2,45.662,Cash,25/01/2025,Istinye Park
I293122,C176062,Female,32,Clothing,3,640.162,Credit Card,25/01/2025,Mall of Istanbul
I293452,C159622,Male,69,Clothing,4,940.242,Credit Card,25/01/2025,Metrocity
I326952,C283312,Female,60,Clothing,3,630.162,Credit Card,25/01/2025,Kanyon
I306382,C240262,Female,36,Food & Beverage,3,16.762,Cash,25/01/2025,Metrocity
I139272,C191782,Female,29,Books,2,19.172,Credit Card,25/01/2025,Emaar Square Mall
I640582,C225302,Female,67,Toys,3,183.392,Debit Card,25/01/2025,Metrocity
I179822,C312812,Male,25,Clothing,4,640.162,Cash,25/01/2025,Cevahir AVM
I336192,C555422,Female,67,Clothing,3,640.162,Credit Card,25/01/2025,Kanyon
I688782,C362282,Male,24,Shoes,7,3040.852,Credit Card,25/01/2025,Viaport Outlet
I294672,C300762,Male,65,Books,3,37.302,Debit Card,25/01/2025,Metrocity
